journal_id,journal_name,journal_name_normalized,title_variants,publisher,wos_core,is_wos_core,is_scopus,norwegian_level,norwegian_level_numeric,alphabet_block,include_in_monitor,openalex_source_id,issn_l,issn_print,issn_online,source_resolution_status,source_confidence,openalex_source_search_hint,notes,verification_source_urls
enfermeria-global,Enfermería Global,enfermeria global,Enfermería Global,Universidad de Murcia,,false,true,Nivå 1,1,D-G,true,,,,,unresolved,,/sources?search=Enfermer%C3%ADa%20Global&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
enfermeria-intensiva,Enfermería Intensiva,enfermeria intensiva,Enfermería Intensiva,Elsevier España / Ediciones Doyma,ESCI,true,true,,0,D-G,true,,,,,unresolved,,/sources?search=Enfermer%C3%ADa%20Intensiva&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
enfermeria-nefrologica,Enfermería Nefrológica,enfermeria nefrologica,Enfermería Nefrológica,Sociedad Española de Enfermería Nefrológica,,false,true,Nivå 1,1,D-G,true,,,,,unresolved,,/sources?search=Enfermer%C3%ADa%20Nefrol%C3%B3gica&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
european-journal-of-cancer-care,European Journal of Cancer Care,european journal of cancer care,European Journal of Cancer Care,Wiley,SCIE; SSCI,true,true,Nivå 1,1,D-G,true,,,,,unresolved,,/sources?search=European%20Journal%20of%20Cancer%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
european-journal-of-cardiovascular-nursing,European Journal of Cardiovascular Nursing,european journal of cardiovascular nursing,European Journal of Cardiovascular Nursing,Oxford University Press,SCIE; SSCI,true,true,Nivå 1,1,D-G,true,,,,,unresolved,,/sources?search=European%20Journal%20of%20Cardiovascular%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
european-journal-of-midwifery,European Journal of Midwifery,european journal of midwifery,European Journal of Midwifery,European Publishing,ESCI,true,true,Nivå 1,1,D-G,true,,,,,unresolved,,/sources?search=European%20Journal%20of%20Midwifery&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
european-journal-of-oncology-nursing,European Journal of Oncology Nursing,european journal of oncology nursing,European Journal of Oncology Nursing,Elsevier / Churchill Livingstone,SCIE; SSCI,true,true,Nivå 1,1,D-G,true,,,,,unresolved,,/sources?search=European%20Journal%20of%20Oncology%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
evidence-based-nursing,Evidence-Based Nursing,evidence based nursing,Evidence-Based Nursing,BMJ Publishing Group,ESCI,true,true,,0,D-G,true,,,,,unresolved,,/sources?search=Evidence-Based%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
florence-nightingale-journal-of-nursing,Florence Nightingale Journal of Nursing,florence nightingale journal of nursing,Florence Nightingale Journal of Nursing,"Istanbul University-Cerrahpaşa, Florence Nightingale Faculty of Nursing",,false,true,,0,D-G,true,,,,,unresolved,,/sources?search=Florence%20Nightingale%20Journal%20of%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
frontiers-in-dementia,Frontiers in Dementia,frontiers in dementia,Frontiers in Dementia,Frontiers Media,,false,true,,0,D-G,true,,,,,unresolved,,/sources?search=Frontiers%20in%20Dementia&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
frontiers-in-emergency-medicine,Frontiers in Emergency Medicine,frontiers in emergency medicine,Frontiers in Emergency Medicine,Tehran University of Medical Sciences,,false,true,,0,D-G,true,,,,,unresolved,,/sources?search=Frontiers%20in%20Emergency%20Medicine&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
frontiers-of-nursing,Frontiers of Nursing,frontiers of nursing,Frontiers of Nursing,Sciendo / De Gruyter,,false,true,,0,D-G,true,,,,,unresolved,,/sources?search=Frontiers%20of%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
gastroenterology-nursing,Gastroenterology Nursing,gastroenterology nursing,Gastroenterology Nursing,"Wolters Kluwer, Lippincott Williams & Wilkins",,false,true,Nivå 1,1,D-G,true,,,,,unresolved,,/sources?search=Gastroenterology%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
gastrointestinal-nursing,Gastrointestinal Nursing,gastrointestinal nursing,Gastrointestinal Nursing,MA Healthcare,,false,true,,0,D-G,true,,,,,unresolved,,/sources?search=Gastrointestinal%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
geriatric-nursing,Geriatric Nursing,geriatric nursing,Geriatric Nursing,Elsevier,SCIE; SSCI,true,true,Nivå 1,1,D-G,true,,,,,unresolved,,/sources?search=Geriatric%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
gerokomos,Gerokomos,gerokomos,Gerokomos,Ediciones SPA / Sociedad Española de Enfermería Geriátrica y Gerontológica,,false,true,Nivå 1,1,D-G,true,,,,,unresolved,,/sources?search=Gerokomos&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
global-qualitative-nursing-research,Global Qualitative Nursing Research,global qualitative nursing research,Global Qualitative Nursing Research,SAGE,ESCI,true,true,Nivå 1,1,D-G,true,,,,,unresolved,,/sources?search=Global%20Qualitative%20Nursing%20Research&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
hayat,HAYAT,hayat,HAYAT,Tehran University of Medical Sciences / Iran University of Medical Sciences,,false,true,,0,H-L,true,,,,,unresolved,,/sources?search=HAYAT&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
health-and-social-care-delivery-research,Health and Social Care Delivery Research,health and social care delivery research,Health and Social Care Delivery Research,NIHR Journals Library,,false,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Health%20and%20Social%20Care%20Delivery%20Research&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
health-and-social-care-in-the-community,Health and Social Care in the Community,health and social care in the community,Health and Social Care in the Community,Wiley,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Health%20and%20Social%20Care%20in%20the%20Community&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
health-care-management-review,Health Care Management Review,health care management review,Health Care Management Review,"Wolters Kluwer, Lippincott Williams & Wilkins",SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Health%20Care%20Management%20Review&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
health-care-transitions,Health Care Transitions,health care transitions,Health Care Transitions,Elsevier,,false,true,,0,H-L,true,,,,,unresolved,,/sources?search=Health%20Care%20Transitions&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
healthcare,Healthcare,healthcare,Healthcare,MDPI,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Healthcare&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
hellenic-journal-of-nursing,Hellenic Journal of Nursing,hellenic journal of nursing,Hellenic Journal of Nursing,Hellenic Nurses Association,,false,true,,0,H-L,true,,,,,unresolved,,/sources?search=Hellenic%20Journal%20of%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
hispanic-health-care-international,Hispanic Health Care International,hispanic health care international,Hispanic Health Care International,SAGE,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Hispanic%20Health%20Care%20International&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
holistic-nursing-practice,Holistic Nursing Practice,holistic nursing practice,Holistic Nursing Practice,"Wolters Kluwer, Lippincott Williams & Wilkins",SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Holistic%20Nursing%20Practice&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
home-health-care-management-and-practice,Home Health Care Management & Practice,home health care management and practice,Home Health Care Management & Practice,SAGE,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Home%20Health%20Care%20Management%20%26%20Practice&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
home-health-care-services-quarterly,Home Health Care Services Quarterly,home health care services quarterly,Home Health Care Services Quarterly,Taylor & Francis,,false,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Home%20Health%20Care%20Services%20Quarterly&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
home-healthcare-now,Home Healthcare Now,home healthcare now,Home Healthcare Now,"Wolters Kluwer, Lippincott Williams & Wilkins",,false,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Home%20Healthcare%20Now&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
horizonte-de-enfermeria,Horizonte de Enfermería,horizonte de enfermeria,Horizonte de Enfermería,Pontificia Universidad Católica de Chile,,false,true,,0,H-L,true,,,,,unresolved,,/sources?search=Horizonte%20de%20Enfermer%C3%ADa&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
index-de-enfermeria,Index de Enfermería,index de enfermeria,Index de Enfermería,Fundación Index,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Index%20de%20Enfermer%C3%ADa&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
informatics-for-health-and-social-care,Informatics for Health and Social Care,informatics for health and social care,Informatics for Health and Social Care,Taylor & Francis,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Informatics%20for%20Health%20and%20Social%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
intensive-and-critical-care-nursing,Intensive and Critical Care Nursing,intensive and critical care nursing,Intensive and Critical Care Nursing,Elsevier / Churchill Livingstone,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Intensive%20and%20Critical%20Care%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-emergency-nursing,International Emergency Nursing,international emergency nursing,International Emergency Nursing,Elsevier,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Emergency%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-for-human-caring,International Journal for Human Caring,international journal for human caring,International Journal for Human Caring,International Association for Human Caring,,false,true,,0,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20for%20Human%20Caring&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-africa-nursing-sciences,International Journal of Africa Nursing Sciences,international journal of africa nursing sciences,International Journal of Africa Nursing Sciences,Elsevier,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Africa%20Nursing%20Sciences&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-community-based-nursing-and-midwifery,International Journal of Community Based Nursing and Midwifery,international journal of community based nursing and midwifery,International Journal of Community Based Nursing and Midwifery,Shiraz University of Medical Sciences,SCIE,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Community%20Based%20Nursing%20and%20Midwifery&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-healthcare-management,International Journal of Healthcare Management,international journal of healthcare management,International Journal of Healthcare Management,Taylor & Francis,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Healthcare%20Management&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-mental-health-nursing,International Journal of Mental Health Nursing,international journal of mental health nursing,International Journal of Mental Health Nursing,Wiley,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Mental%20Health%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-nursing-education-scholarship,International Journal of Nursing Education Scholarship,international journal of nursing education scholarship,International Journal of Nursing Education Scholarship,De Gruyter,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Nursing%20Education%20Scholarship&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-nursing-knowledge,International Journal of Nursing Knowledge,international journal of nursing knowledge,International Journal of Nursing Knowledge,SAGE,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Nursing%20Knowledge&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-nursing-practice,International Journal of Nursing Practice,international journal of nursing practice,International Journal of Nursing Practice,Wiley,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Nursing%20Practice&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-nursing-sciences,International Journal of Nursing Sciences,international journal of nursing sciences,International Journal of Nursing Sciences,Elsevier / Chinese Nursing Association,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Nursing%20Sciences&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-nursing-studies,International Journal of Nursing Studies,international journal of nursing studies,International Journal of Nursing Studies,Elsevier,SCIE; SSCI,true,true,Nivå 2,2,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Nursing%20Studies&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-nursing-studies-advances,International Journal of Nursing Studies Advances,international journal of nursing studies advances,International Journal of Nursing Studies Advances,Elsevier,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Nursing%20Studies%20Advances&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-older-people-nursing,International Journal of Older People Nursing,international journal of older people nursing,International Journal of Older People Nursing,Wiley,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Older%20People%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-orthopaedic-and-trauma-nursing,International Journal of Orthopaedic and Trauma Nursing,international journal of orthopaedic and trauma nursing,International Journal of Orthopaedic and Trauma Nursing,Elsevier,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Orthopaedic%20and%20Trauma%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-palliative-nursing,International Journal of Palliative Nursing,international journal of palliative nursing,International Journal of Palliative Nursing,MA Healthcare,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Palliative%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-practice-based-learning-in-health-and-social-care,International Journal of Practice-Based Learning in Health and Social Care,international journal of practice based learning in health and social care,International Journal of Practice-Based Learning in Health and Social Care,Coventry University,,false,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Practice-Based%20Learning%20in%20Health%20and%20Social%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-journal-of-urological-nursing,International Journal of Urological Nursing,international journal of urological nursing,International Journal of Urological Nursing,Wiley,,false,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Journal%20of%20Urological%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
international-nursing-review,International Nursing Review,international nursing review,International Nursing Review,Wiley,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=International%20Nursing%20Review&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
investigacion-y-educacion-en-enfermeria,Investigación y Educación en Enfermería,investigacion y educacion en enfermeria,Investigación y Educación en Enfermería,Universidad de Antioquia,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Investigaci%C3%B3n%20y%20Educaci%C3%B3n%20en%20Enfermer%C3%ADa&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
iranian-journal-of-nursing-and-midwifery-research,Iranian Journal of Nursing and Midwifery Research,iranian journal of nursing and midwifery research,Iranian Journal of Nursing and Midwifery Research,Wolters Kluwer Medknow,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Iranian%20Journal%20of%20Nursing%20and%20Midwifery%20Research&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
issues-in-mental-health-nursing,Issues in Mental Health Nursing,issues in mental health nursing,Issues in Mental Health Nursing,Taylor & Francis,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Issues%20in%20Mental%20Health%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
jbi-evidence-implementation,JBI Evidence Implementation,jbi evidence implementation,JBI Evidence Implementation,Wolters Kluwer,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=JBI%20Evidence%20Implementation&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
jbi-evidence-synthesis,JBI Evidence Synthesis,jbi evidence synthesis,JBI Evidence Synthesis,"Wolters Kluwer, Lippincott Williams & Wilkins",SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=JBI%20Evidence%20Synthesis&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
jmir-nursing,JMIR Nursing,jmir nursing,JMIR Nursing,JMIR Publications,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=JMIR%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
jognn-journal-of-obstetric-gynecologic-and-neonatal-nursing,"JOGNN, Journal of Obstetric, Gynecologic, and Neonatal Nursing",jognn journal of obstetric gynecologic and neonatal nursing,"JOGNN, Journal of Obstetric, Gynecologic, and Neonatal Nursing | JOGNN | Journal of Obstetric, Gynecologic, and Neonatal Nursing | Journal of Obstetric | Gynecologic | and Neonatal Nursing",Elsevier,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=JOGNN%2C%20Journal%20of%20Obstetric%2C%20Gynecologic%2C%20and%20Neonatal%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
japan-journal-of-nursing-science,Japan Journal of Nursing Science,japan journal of nursing science,Japan Journal of Nursing Science,Wiley,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Japan%20Journal%20of%20Nursing%20Science&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-for-nurse-practitioners,Journal for Nurse Practitioners,journal for nurse practitioners,Journal for Nurse Practitioners,Elsevier,SCIE,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Journal%20for%20Nurse%20Practitioners&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-for-nurses-in-professional-development,Journal for Nurses in Professional Development,journal for nurses in professional development,Journal for Nurses in Professional Development,Wolters Kluwer,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Journal%20for%20Nurses%20in%20Professional%20Development&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-for-specialists-in-pediatric-nursing,Journal for Specialists in Pediatric Nursing,journal for specialists in pediatric nursing,Journal for Specialists in Pediatric Nursing,Wiley,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Journal%20for%20Specialists%20in%20Pediatric%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-of-addictions-nursing,Journal of Addictions Nursing,journal of addictions nursing,Journal of Addictions Nursing,Wolters Kluwer,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Journal%20of%20Addictions%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-of-advanced-nursing,Journal of Advanced Nursing,journal of advanced nursing,Journal of Advanced Nursing,Wiley,SCIE; SSCI,true,true,Nivå 2,2,H-L,true,,,,,unresolved,,/sources?search=Journal%20of%20Advanced%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-of-asian-midwives,Journal of Asian Midwives,journal of asian midwives,Journal of Asian Midwives,South Asian Midwives Alliance,,false,true,,0,H-L,true,,,,,unresolved,,/sources?search=Journal%20of%20Asian%20Midwives&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-of-cardiovascular-nursing,Journal of Cardiovascular Nursing,journal of cardiovascular nursing,Journal of Cardiovascular Nursing,"Wolters Kluwer, Lippincott Williams & Wilkins",SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Journal%20of%20Cardiovascular%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-of-caring-sciences,Journal of Caring Sciences,journal of caring sciences,Journal of Caring Sciences,Tabriz University of Medical Sciences,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Journal%20of%20Caring%20Sciences&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-of-child-health-care,Journal of Child Health Care,journal of child health care,Journal of Child Health Care,SAGE,SCIE; SSCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Journal%20of%20Child%20Health%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-of-child-and-adolescent-psychiatric-nursing,Journal of Child and Adolescent Psychiatric Nursing,journal of child and adolescent psychiatric nursing,Journal of Child and Adolescent Psychiatric Nursing,Wiley,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Journal%20of%20Child%20and%20Adolescent%20Psychiatric%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-of-client-centered-nursing-care,Journal of Client-Centered Nursing Care,journal of client centered nursing care,Journal of Client-Centered Nursing Care,Iran University of Medical Sciences,,false,true,,0,H-L,true,,,,,unresolved,,/sources?search=Journal%20of%20Client-Centered%20Nursing%20Care&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-of-clinical-nursing,Journal of Clinical Nursing,journal of clinical nursing,Journal of Clinical Nursing,Wiley,SCIE; SSCI,true,true,Nivå 2,2,H-L,true,,,,,unresolved,,/sources?search=Journal%20of%20Clinical%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-of-community-health-nursing,Journal of Community Health Nursing,journal of community health nursing,Journal of Community Health Nursing,Taylor & Francis,ESCI,true,true,Nivå 1,1,H-L,true,,,,,unresolved,,/sources?search=Journal%20of%20Community%20Health%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
journal-of-community-nursing,Journal of Community Nursing,journal of community nursing,Journal of Community Nursing,Wound Care People,,false,true,,0,H-L,true,,,,,unresolved,,/sources?search=Journal%20of%20Community%20Nursing&filter=type:journal&per-page=5,,https://mjl.clarivate.com/home; https://www.elsevier.com/products/scopus/content; https://kanalregister.hkdir.no
